,Donor_Id,P_year,Frequency
0,b'0003669',1,1.0
0,b'0003672',56,9.0
0,b'0003673',151,10.0
0,b'0003683',151,10.0
0,b'0003685',21,7.0
0,b'0003687',1,1.0
0,b'0003688',1,1.0
0,b'0003689',18,3.0
0,b'0003694',2,2.0
0,b'0003707',158,11.0
0,b'0003712',108,8.0
0,b'0003714',62,4.0
0,b'0003746',25,2.0
0,b'0003752',1,1.0
0,b'0003759',158,11.0
0,b'0003767',156,10.0
0,b'0003774',22,2.0
0,b'0003775',2,2.0
0,b'0003780',1,1.0
0,b'0003782',155,10.0
0,b'0003791',9,9.0
0,b'0003792',132,11.0
0,b'0003797',73,5.0
0,b'0003801',2,2.0
0,b'0003807',6,6.0
0,b'0003824',157,10.0
0,b'0003833',4,2.0
0,b'0003834',157,11.0
0,b'0003835',3,3.0
0,b'0003837',23,2.0
0,b'0003843',154,10.0
0,b'0003850',50,4.0
0,b'0003858',157,10.0
0,b'0003865',3,3.0
0,b'0003870',157,10.0
0,b'0003875',154,10.0
0,b'0003876',1,1.0
0,b'0003878',311,21.0
0,b'0003879',2,2.0
0,b'0003892',53,4.0
0,b'0003904',25,4.0
0,b'0003909',140,9.0
0,b'0003911',154,10.0
0,b'0003917',68,5.0
0,b'0003918',1,1.0
0,b'0003927',1,1.0
0,b'0003931',148,10.0
0,b'0003934',1,1.0
0,b'0003938',21,2.0
0,b'0003942',3,2.0
0,b'0003946',100,10.0
0,b'0003949',54,4.0
0,b'0003955',161,11.0
0,b'0003956',1,1.0
0,b'0003958',1,1.0
0,b'0003960',2,2.0
0,b'0003970',44,4.0
0,b'0003971',155,10.0
0,b'0003984',468,31.0
0,b'0003985',156,10.0
0,b'0003988',156,10.0
0,b'0003992',1,1.0
0,b'0003999',46,3.0
0,b'0004008',156,10.0
0,b'0004019',158,11.0
0,b'0004021',156,10.0
0,b'0004030',157,10.0
0,b'0004031',160,11.0
0,b'0004032',70,5.0
0,b'0004042',55,4.0
0,b'0004047',1,1.0
0,b'0004050',157,11.0
0,b'0004069',155,10.0
0,b'0004077',154,10.0
0,b'0004078',1,1.0
0,b'0004088',15,5.0
0,b'0004089',15,2.0
0,b'0004091',30,8.0
0,b'0004094',1,1.0
0,b'0004095',8,4.0
0,b'0004096',3,3.0
0,b'0004112',57,4.0
0,b'0004116',1,1.0
0,b'0004117',2,2.0
0,b'0004118',1,1.0
0,b'0004120',20,1.0
0,b'0004122',44,9.0
0,b'0004123',60,10.0
0,b'0004127',1,1.0
0,b'0004128',159,11.0
0,b'0004130',59,4.0
0,b'0004131',54,9.0
0,b'0004134',95,11.0
0,b'0004139',1,1.0
0,b'0004140',1,1.0
0,b'0004147',162,11.0
0,b'0004153',232,15.0
0,b'0004156',3,3.0
0,b'0004162',39,4.0
0,b'0004169',25,5.0
0,b'0004175',24,4.0
0,b'0004178',158,11.0
0,b'0004188',5,2.0
0,b'0004193',2,2.0
0,b'0004198',156,10.0
0,b'0004203',91,10.0
0,b'0004207',4,1.0
0,b'0004209',147,10.0
0,b'0004210',138,11.0
0,b'0004211',329,22.0
0,b'0004212',139,11.0
0,b'0004223',154,10.0
0,b'0004237',286,19.0
0,b'0004240',175,12.0
0,b'0004242',3,3.0
0,b'0004244',1,1.0
0,b'0004252',28,2.0
0,b'0004260',159,11.0
0,b'0004263',57,4.0
0,b'0004273',3,3.0
0,b'0004275',155,10.0
0,b'0004280',81,5.0
0,b'0004282',1,1.0
0,b'0004283',32,4.0
0,b'0004286',156,10.0
0,b'0004287',150,10.0
0,b'0004292',52,9.0
0,b'0004299',109,10.0
0,b'0004301',21,2.0
0,b'0004303',4,4.0
0,b'0004304',103,7.0
0,b'0004305',154,10.0
0,b'0004316',156,10.0
0,b'0004321',1,1.0
0,b'0004324',103,10.0
0,b'0004327',1,1.0
0,b'0004329',143,10.0
0,b'0004332',1,1.0
0,b'0004339',11,6.0
0,b'0004344',24,8.0
0,b'0004351',161,11.0
0,b'0004354',75,5.0
0,b'0004365',25,6.0
0,b'0004374',63,4.0
0,b'0004382',274,18.0
0,b'0004383',147,10.0
0,b'0004387',151,10.0
0,b'0004388',156,10.0
0,b'0004389',67,5.0
0,b'0004391',4,4.0
0,b'0004394',71,5.0
0,b'0004397',1,1.0
0,b'0004405',156,10.0
0,b'0004409',162,11.0
0,b'0004410',148,10.0
0,b'0004411',19,1.0
0,b'0004416',85,6.0
0,b'0004418',1,1.0
0,b'0004425',81,10.0
0,b'0004426',2,2.0
0,b'0004427',20,1.0
0,b'0004436',1,1.0
0,b'0004447',22,2.0
0,b'0004451',20,2.0
0,b'0004452',1,1.0
0,b'0004456',20,1.0
0,b'0004461',1,1.0
0,b'0004463',42,8.0
0,b'0004465',159,11.0
